text,Comment,Pattern Category,Pattern Type,Where in website?,label
Arrow,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Returns an Item,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
HOT PRODUCT Over 250 people are looking at this item.,Product detail,Social Proof,Activity Notification,Product Page,1.0
I don't want to save money,Popup,Misdirection,Confirmshaming,Product Page,1.0
HURRY! ONLY 2 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hair type: Curly,Call to cancel subscription,Not Dark Pattern,Not Applicable,Cart Page,0.0
DEAL ENDS IN 40:55:13,Decrements at scheduled intervals. Product detail.,Urgency,Countdown Timer,Product Page,1.0
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Only 1 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Search for similiar products,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Only 33 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
FAMILY SHADE PACK | PICK YOUR PACK,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Promaster City Remotes,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
"Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Account creation,Not Dark Pattern,Not Applicable,Other Page,0.0
Only 11 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Hurry! Only 6 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
40 users are currently active on our website just now.,Lower left corner,Social Proof,Activity Notification,Product Page,1.0
Hair Tools,Call to cancel subscription,Not Dark Pattern,Not Applicable,Cart Page,0.0
Email Address*,Double negative,Not Dark Pattern,Not Applicable,Product Page,0.0
 Send Us Your Jersey ,Email to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
 View All Home Office Furniture ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Search Result:Search Results: ,Cart,Not Dark Pattern,Not Applicable,Cart Page,0.0
90% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,1.0
Tube Tops,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Hair type: Wavy,Call to cancel subscription,Not Dark Pattern,Not Applicable,Cart Page,0.0
7 people looked at this product in the last 24 hours.,Product image,Social Proof,Activity Notification,Product Page,1.0
Glow Gear,Adding to cart results in insurance popup,Not Dark Pattern,Not Applicable,Product Page,0.0
18 In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Periodic popup,Social Proof,Activity Notification,Product Page,1.0
00:15:07:45,Product detail,Urgency,Countdown Timer,Product Page,1.0
"No, I'll rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,1.0
Only 9 Left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Deals of the Week,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
" ... It covers love and loss, friendship and pain through ",Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
1 person is viewing this,Product detail,Social Proof,Activity Notification,Product Page,1.0
Your order is reserved for 09:14 minutes! ,Conversion Pirate.,Urgency,Countdown Timer,Checkout Process,1.0
" Gift TypeFlowers, Cakes, Plants, etc. ",Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
 CAMILLA World ,Account creation,Not Dark Pattern,Not Applicable,Cart Page,0.0
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,After adding to cart you're shown a full page popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Fun Treat Tossing,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Limited time remaining!,Product detail,Urgency,Low-stock Message,Product Page,1.0
"No thanks, I'll pay full price",Popup,Misdirection,Confirmshaming,Product Page,1.0
Your shopping bag is empty...,Product image,Not Dark Pattern,Not Applicable,Product Page,0.0
Trousers & Chinos,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Only 7 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 5 item(s) left.,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Chargers ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
(only 5 left),Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Eyelashes ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Pick the price that matches your budget. ,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",Call to cancel membership,Not Dark Pattern,Not Applicable,Other Page,0.0
Child Safety,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 Cosmic Rainbow ,Cart,Not Dark Pattern,Not Applicable,Product Page,0.0
NRA Annual Meetings & Exhibits,Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Not Dark Pattern,Not Applicable,Product Page,0.0
 Moonstone Beads ,Periodic popup,Not Dark Pattern,Not Applicable,Other Page,0.0
I'll Shop Without A Discount,Popup,Misdirection,Confirmshaming,Product Page,1.0
Only 11 Left In Stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
 Netherlands Antilles USD,Banner,Not Dark Pattern,Not Applicable,Other Page,0.0
Was this product description useful?YesNo,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Returns Information,Account creation,Not Dark Pattern,Not Applicable,Checkout Process,0.0
TiesToys & GamesTravelWatches,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Bought by 39 people in last few hours! HOT SELLER!,Product detail,Social Proof,Activity Notification,Product Page,1.0
Books and Stationery,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Your order is reserved for 08:48 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1.0
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Product detail,Urgency,Low-stock Message,Product Page,1.0
 Bioactive Custodians ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 Most-Hearted Styles Shop Now ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
 Use a clean vase and clean water.,After adding to cart you're shown a full page popup,Not Dark Pattern,Not Applicable,Product Page,0.0
" well, this is awkward. ",Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,Add product to cart results in a popup asking you to also buy the Glasses,Not Dark Pattern,Not Applicable,Product Page,0.0
 All Licensed ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Nursing chairs,Account creation,Not Dark Pattern,Not Applicable,Cart Page,0.0
Only 1 Item(s) left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Discount pending $10 OFF 00:30:00,"Popup, and then sites in the lower right corner. The offer pops up again after expiration.",Urgency,Countdown Timer,Product Page,1.0
Juniors' Shoes,Doesn't tell you about the recurring charge until final review.,Not Dark Pattern,Not Applicable,Product Page,0.0
Limited Time: $10 Off! Discount Reflected In Price!,Product detail,Urgency,Limited-time Message,Product Page,1.0
Switchers,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,Account creation,Not Dark Pattern,Not Applicable,Checkout Process,0.0
Ribbons,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",Call to cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
IN 43 PEOPLE'S SHOPPING BAG,Product image,Social Proof,Activity Notification,Product Page,1.0
 Amethyst Beads ,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
Down Jackets,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Product detail,Urgency,Countdown Timer,Product Page,1.0
"BERNARD in Philadelphia, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
"NO THANKS, I DON’T MIND MISSING OUT",Popup,Misdirection,Confirmshaming,Product Page,1.0
"Hurry, only 1 left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 26 Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
7 sold in last 24 hours,Above product detail. Hardcoded in JS.,Social Proof,Activity Notification,Product Page,1.0
Buy Wearables»,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Banner,Urgency,Countdown Timer,Product Page,1.0
 Watercolour Brushes Toggle category Watercolour Brushes ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
LightInTheBox 掲載記事,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Clear filter,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
HURRY UP > 09H 42M 39S,Product detail,Urgency,Countdown Timer,Product Page,1.0
 Sweats ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Q: Will this damage my hair?,Insurance selected by default in the dropdown. The coverage price is $1.00.,Not Dark Pattern,Not Applicable,Product Page,0.0
Brandon Blackwood,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"Someone in Sasebo, Japan just bought",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
80 Customers are considering this product right now.,Product detail,Social Proof,Activity Notification,Product Page,1.0
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Above product image,Social Proof,Activity Notification,Product Page,1.0
 End Tables,Banner across the entire website. Recurring combination of sales.,Not Dark Pattern,Not Applicable,Other Page,0.0
ONLY 2 LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only few items left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Only 1.75 yards left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",On product image,Not Dark Pattern,Not Applicable,Product Page,0.0
71 people have purchased this item,Right side popup,Social Proof,Activity Notification,Product Page,1.0
Only 8 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Subscribe & Save,After adding to cart you're shown a full page popup,Misdirection,Pressured Selling,Product Page,1.0
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",Account creation,Not Dark Pattern,Not Applicable,Checkout Process,0.0
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
00DAYS00HOURS14MINUTES21SECONDS,Account creation,Urgency,Hard to Cancel,Product Page,1.0
"Great prices, professional customer services",Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Carnival Remotes,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Hurry! Only 1 left in size M!!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Items in your cart are in high demand.,Shown for all products,Scarcity,High-demand Message,Cart Page,1.0
 VIP Points! ,Call to cancel,Not Dark Pattern,Not Applicable,Cart Page,0.0
Root Touch Up + Brow Filler,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Limited stock Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
" Looks like your cart is empty, let's fix that! ","Cart header. When ends, reloads on page refresh. Uses varinode: https://apps.shopify.com/conversion.",Not Dark Pattern,Not Applicable,Cart Page,0.0
Over 500 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Lasers ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Choose your payment day. View your schedule and select pay now.,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
Hurry up! 6 people other than you have this product in their cart,Product detail,Social Proof,Activity Notification,Product Page,1.0
 E-Gift Cards ,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
1 LEFT,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Periodic popup,Social Proof,Activity Notification,Product Page,1.0
 Personalised Chocolates ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Shop Dresses by Occasion,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
I do not want to protect my item,Popup,Misdirection,Confirmshaming,Product Page,1.0
Add to Your Gift and We'll Ship it For Free!,Popup,Misdirection,Confirmshaming,Product Page,1.0
Wallets ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
 Exclusive offers & discounts for club members via email ,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Buy with humm.,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Synthesis E-MTB Carbon Wheelset,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"25,439 people have viewed this item",Right side popup,Social Proof,Activity Notification,Product Page,1.0
No thanks I definitely measured correctly,Popup,Misdirection,Confirmshaming,Product Page,1.0
57 PEOPLE HAVE LOOKED AT THIS TODAY,Product detail,Social Proof,Activity Notification,Product Page,1.0
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Women's ApparelCollection ,Cart,Not Dark Pattern,Not Applicable,Product Page,0.0
"Before you check out, can we tempt you?",Email to Cancel,Misdirection,Hard to Cancel,Cart Page,1.0
 Women's Sandals ,Cart,Not Dark Pattern,Not Applicable,Product Page,0.0
 Plant-Based Beauty ,Banner. Recycles sales.,Not Dark Pattern,Not Applicable,Product Page,0.0
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Call to cancel,Obstruction,Hard to Cancel,Other Page,1.0
 Frame out of stock in this colour,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Hair Care Sets,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Not Dark Pattern,Not Applicable,Product Page,0.0
Limited quantity remaining,Product detail,Scarcity,Low-stock Message,Product Page,1.0
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,"Clicking on the offer for free shipping without clicking ""learn more"" doesn't reveal additional costs",Not Dark Pattern,Not Applicable,Product Page,0.0
"128 sold today! Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
4 people are looking at this right now.,Product detail,Social Proof,Activity Notification,Product Page,1.0
"No thanks, I dont want a discount",Popup,Misdirection,Confirmshaming,Product Page,1.0
"Someone from Portland, United States (US) purchased MODALERT recently.",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Product detail,Urgency,Limited-time Message,Product Page,1.0
2 people are viewing this,Product detail,Social Proof,Activity Notification,Product Page,1.0
HURRY! ONLY 1 IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Printed ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
Patient Transfer Devices,Account creation,Not Dark Pattern,Not Applicable,Product Page,0.0
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
LAST CHANCE TO ACTIVATE 10% OFF,Product detail,Scarcity,Low-stock Message,Product Page,1.0
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1.0
only 5 left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
78 Persons looking for this product,Product detail,Social Proof,Activity Notification,Product Page,1.0
 Heart Shaped Cake ,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
227 Bought Already,Product detail,Social Proof,Activity Notification,Product Page,1.0
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,Call to cancel membership,Not Dark Pattern,Not Applicable,Product Page,0.0
Universal Fit Collapsible Smart Phone Stand,Email to Cancel,Not Dark Pattern,Not Applicable,Other Page,0.0
Hurry! Only Limited Items Left,Product detail,Scarcity,Low-stock Message,Product Page,1.0
現代奴隷法に対する透明性に関する声明 (opens in a new tab),Periodic popup,Not Dark Pattern,Not Applicable,Product Page,0.0
Strong demand! Complete your order before it's too late!,Product detail,Scarcity,High-demand Message,Product Page,1.0
Your order is reserved for 09:56 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1.0
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Product detail,Social Proof,Activity Notification,Product Page,1.0
Gift Wrapping Supplies,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
6 others have already bought this deal today!,Product detail,Social Proof,Activity Notification,Product Page,1.0
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",Email to cancel,Obstruction,Hard to Cancel,Other Page,1.0
info@coolhockey.com,Account creation,Not Dark Pattern,Not Applicable,Checkout Process,0.0
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Banner,Urgency,Limited-time Message,Product Page,1.0
 Safe & Secure Checkout ,Banner,Not Dark Pattern,Not Applicable,Product Page,0.0
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Conversion Pirate. Resets.,Social Proof,Countdown Timer,Checkout Process,1.0
Wall Mounted Air Conditioners,Cart,Not Dark Pattern,Not Applicable,Other Page,0.0
"803 Claimed! Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1.0
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Periodic popup,Social Proof,Activity Notification,Product Page,1.0
Only 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1.0
3 PEOPLE VIEWING,Product detail,Social Proof,Activity Notification,Product Page,1.0
"No thanks, I’d rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,1.0
Product Feature,Product detail,Not Dark Pattern,Not Applicable,Product Page,0.0
Plant-based Protein,Account creation,Not Dark Pattern,Not Applicable,Other Page,0.0
Parad Combo Deals ,Popup,Not Dark Pattern,Not Applicable,Product Page,0.0
