text,Comment,Pattern Category,Pattern Type,Where in website?,label
 Exclusive offers & discounts for club members via email ,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Buy with humm.,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Synthesis E-MTB Carbon Wheelset,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"25,439 people have viewed this item",Right side popup,Social Proof,Activity Notification,Product Page,1
No thanks I definitely measured correctly,Popup,Misdirection,Confirmshaming,Product Page,1
57 PEOPLE HAVE LOOKED AT THIS TODAY,Product detail,Social Proof,Activity Notification,Product Page,1
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Periodic popup,Social Proof,Activity Notification,Product Page,1
Women's ApparelCollection ,Cart,Not Dark Pattern,Activity Notification,Product Page,0
"Before you check out, can we tempt you?",Email to Cancel,Misdirection,Hard to Cancel,Cart Page,1
 Women's Sandals ,Cart,Not Dark Pattern,Activity Notification,Product Page,0
 Plant-Based Beauty ,Banner. Recycles sales.,Not Dark Pattern,Countdown Timer,Product Page,0
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Call to cancel,Obstruction,Hard to Cancel,Other Page,1
 Frame out of stock in this colour,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
Hair Care Sets,19.99 becomes 38.35. Care and handling is not disclosed. The others are disclosed in small gray font.,Not Dark Pattern,Activity Notification,Product Page,0
Limited quantity remaining,Product detail,Scarcity,Low-stock Message,Product Page,1
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,"Clicking on the offer for free shipping without clicking ""learn more"" doesn't reveal additional costs",Not Dark Pattern,Pressured Selling,Product Page,0
"128 sold today! Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1
4 people are looking at this right now.,Product detail,Social Proof,Activity Notification,Product Page,1
"No thanks, I dont want a discount",Popup,Misdirection,Confirmshaming,Product Page,1
"Someone from Portland, United States (US) purchased MODALERT recently.",Periodic popup,Social Proof,Activity Notification,Product Page,1
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Product detail,Urgency,Limited-time Message,Product Page,1
2 people are viewing this,Product detail,Social Proof,Activity Notification,Product Page,1
HURRY! ONLY 1 IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,1
Printed ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Patient Transfer Devices,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
LAST CHANCE TO ACTIVATE 10% OFF,Product detail,Scarcity,Low-stock Message,Product Page,1
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1
only 5 left,Product detail,Scarcity,Low-stock Message,Product Page,1
78 Persons looking for this product,Product detail,Social Proof,Activity Notification,Product Page,1
 Heart Shaped Cake ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
227 Bought Already,Product detail,Social Proof,Activity Notification,Product Page,1
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,Call to cancel membership,Not Dark Pattern,Hard to Cancel,Product Page,0
Universal Fit Collapsible Smart Phone Stand,Email to Cancel,Not Dark Pattern,Hard to Cancel,Other Page,0
Hurry! Only Limited Items Left,Product detail,Scarcity,Low-stock Message,Product Page,1
現代奴隷法に対する透明性に関する声明 (opens in a new tab),Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
Strong demand! Complete your order before it's too late!,Product detail,Scarcity,High-demand Message,Product Page,1
Your order is reserved for 09:56 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,1
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Product detail,Social Proof,Activity Notification,Product Page,1
Gift Wrapping Supplies,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
6 others have already bought this deal today!,Product detail,Social Proof,Activity Notification,Product Page,1
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",Email to cancel,Obstruction,Hard to Cancel,Other Page,1
info@coolhockey.com,Account creation,Not Dark Pattern,Hard to Cancel,Checkout Process,0
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Banner,Urgency,Limited-time Message,Product Page,1
 Safe & Secure Checkout ,Banner,Not Dark Pattern,Countdown Timer,Product Page,0
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Periodic popup,Social Proof,Activity Notification,Product Page,1
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Conversion Pirate. Resets.,Social Proof,Countdown Timer,Checkout Process,1
Wall Mounted Air Conditioners,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
"803 Claimed! Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,1
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Periodic popup,Social Proof,Activity Notification,Product Page,1
Only 2 left!,Product detail,Scarcity,Low-stock Message,Product Page,1
3 PEOPLE VIEWING,Product detail,Social Proof,Activity Notification,Product Page,1
"No thanks, I’d rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,1
Product Feature,Product detail,Not Dark Pattern,Activity Notification,Product Page,0
Plant-based Protein,Account creation,Not Dark Pattern,Hard to Cancel,Other Page,0
Parad Combo Deals ,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Last Shape Guide,Product detail,Not Dark Pattern,Low-stock Message,Product Page,0
 Baby & Toddler Toys ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
Shipping Insurance Remove Insurance,Banner,Sneaking,Limited-time Message,Product Page,1
Clocks ,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
 Cat's Eye Beads ,Account creation,Not Dark Pattern,Hard to Cancel,Product Page,0
Shop now. Pay later. Always interest-free,Popup,Not Dark Pattern,Confirmshaming,Product Page,0
Stay with us in India,Periodic popup,Not Dark Pattern,Activity Notification,Product Page,0
No thanks. I don’t want deals.,Popup,Misdirection,Confirmshaming,Product Page,1
Wyse Thin Client,Cart,Not Dark Pattern,Hard to Cancel,Other Page,0
